1    1744  6.9640718562874255  1744  6.9640718562874255
2  A  2  0.00998003992015968  2  0.00998003992015968
3  AU  5  0.021956087824351298  5  0.021956087824351298
4  Actually  1  0.005988023952095809  1  0.005988023952095809
5  Any  2  0.00998003992015968  2  0.00998003992015968
6  Archive  1  0.005988023952095809  1  0.005988023952095809
7  Aug  12  0.0499001996007984  12  0.0499001996007984
8  Beenthere  1  0.005988023952095809  1  0.005988023952095809
9  C  1  0.005988023952095809  1  0.005988023952095809
10  Cc  1  0.005988023952095809  1  0.005988023952095809
11  Change  4  0.017964071856287425  4  0.017964071856287425
12  Chris  2  0.00998003992015968  2  0.00998003992015968
13  Com  2  0.00998003992015968  2  0.00998003992015968
14  Content  1  0.005988023952095809  1  0.005988023952095809
15  D  1  0.005988023952095809  1  0.005988023952095809
16  Date  2  0.00998003992015968  2  0.00998003992015968
17  DeepEddy  2  0.00998003992015968  2  0.00998003992015968
18  Delivered  2  0.00998003992015968  2  0.00998003992015968
19  Discussion  1  0.005988023952095809  1  0.005988023952095809
20  EA  1  0.005988023952095809  1  0.005988023952095809
21  EDT  3  0.013972055888223553  3  0.013972055888223553
22  ESMTP  6  0.02594810379241517  6  0.02594810379241517
23  EXMH  1  0.005988023952095809  1  0.005988023952095809
24  Elz  1  0.005988023952095809  1  0.005988023952095809
25  Errors  1  0.005988023952095809  1  0.005988023952095809
26  Exmh  4  0.017964071856287425  4  0.017964071856287425
27  F  2  0.00998003992015968  2  0.00998003992015968
28  FindMsg  2  0.00998003992015968  2  0.00998003992015968
29  FindMsgs  2  0.00998003992015968  2  0.00998003992015968
30  Flag  2  0.00998003992015968  2  0.00998003992015968
31  FlagInner  2  0.00998003992015968  2  0.00998003992015968
32  Flist  1  0.005988023952095809  1  0.005988023952095809
33  Folder  2  0.00998003992015968  2  0.00998003992015968
34  FolderChange  3  0.013972055888223553  3  0.013972055888223553
35  For  1  0.005988023952095809  1  0.005988023952095809
36  From  2  0.00998003992015968  2  0.00998003992015968
37  Ftoc  6  0.02594810379241517  6  0.02594810379241517
38  Garrigues  2  0.00998003992015968  2  0.00998003992015968
39  Help  1  0.005988023952095809  1  0.005988023952095809
40  Hope  1  0.005988023952095809  1  0.005988023952095809
41  I  28  0.11377245508982035  28  0.11377245508982035
42  ICT  2  0.00998003992015968  2  0.00998003992015968
43  ID  1  0.005988023952095809  1  0.005988023952095809
44  IMAP  1  0.005988023952095809  1  0.005988023952095809
45  IST  1  0.005988023952095809  1  0.005988023952095809
46  Id  2  0.00998003992015968  2  0.00998003992015968
47  In  1  0.005988023952095809  1  0.005988023952095809
48  It  4  0.017964071856287425  4  0.017964071856287425
49  Just  1  0.005988023952095809  1  0.005988023952095809
50  LCGNl  1  0.005988023952095809  1  0.005988023952095809
51  LCU  1  0.005988023952095809  1  0.005988023952095809
52  LCUIl  1  0.005988023952095809  1  0.005988023952095809
53  LCUqY  1  0.005988023952095809  1  0.005988023952095809
54  LCUqx  1  0.005988023952095809  1  0.005988023952095809
55  LCXvZ  1  0.005988023952095809  1  0.005988023952095809
56  List  6  0.02594810379241517  6  0.02594810379241517
57  Looks  1  0.005988023952095809  1  0.005988023952095809
58  Loop  1  0.005988023952095809  1  0.005988023952095809
59  MIME  1  0.005988023952095809  1  0.005988023952095809
60  Mailman  1  0.005988023952095809  1  0.005988023952095809
61  Mark  1  0.005988023952095809  1  0.005988023952095809
62  MarkUnseen  1  0.005988023952095809  1  0.005988023952095809
63  Message  2  0.00998003992015968  2  0.00998003992015968
64  More  1  0.005988023952095809  1  0.005988023952095809
65  Msg  6  0.02594810379241517  6  0.02594810379241517
66  MsgChange  3  0.013972055888223553  3  0.013972055888223553
67  MsgSeen  4  0.017964071856287425  4  0.017964071856287425
68  MsgShow  2  0.00998003992015968  2  0.00998003992015968
69  N  2  0.00998003992015968  2  0.00998003992015968
70  New  3  0.013972055888223553  3  0.013972055888223553
71  OZ  5  0.021956087824351298  5  0.021956087824351298
72  Path  1  0.005988023952095809  1  0.005988023952095809
73  Pick  2  0.00998003992015968  2  0.00998003992015968
74  PickInner  3  0.013972055888223553  3  0.013972055888223553
75  PickMsgs  2  0.00998003992015968  2  0.00998003992015968
76  Post  1  0.005988023952095809  1  0.005988023952095809
77  Postfix  3  0.013972055888223553  3  0.013972055888223553
78  Precedence  1  0.005988023952095809  1  0.005988023952095809
79  Re  1  0.005988023952095809  1  0.005988023952095809
80  Received  10  0.041916167664670656  10  0.041916167664670656
81  References  1  0.005988023952095809  1  0.005988023952095809
82  Reply  1  0.005988023952095809  1  0.005988023952095809
83  Return  1  0.005988023952095809  1  0.005988023952095809
84  Robert  1  0.005988023952095809  1  0.005988023952095809
85  SMTP  2  0.00998003992015968  2  0.00998003992015968
86  Search  2  0.00998003992015968  2  0.00998003992015968
87  Second  1  0.005988023952095809  1  0.005988023952095809
88  Sender  1  0.005988023952095809  1  0.005988023952095809
89  Sequences  3  0.013972055888223553  3  0.013972055888223553
90  Show  3  0.013972055888223553  3  0.013972055888223553
91  So  1  0.005988023952095809  1  0.005988023952095809
92  Subject  2  0.00998003992015968  2  0.00998003992015968
93  Subscribe  1  0.005988023952095809  1  0.005988023952095809
94  TMDA  3  0.013972055888223553  3  0.013972055888223553
95  That  1  0.005988023952095809  1  0.005988023952095809
96  The  2  0.00998003992015968  2  0.00998003992015968
97  There  1  0.005988023952095809  1  0.005988023952095809
98  This  1  0.005988023952095809  1  0.005988023952095809
99  To  5  0.021956087824351298  5  0.021956087824351298
100  Tue  1  0.005988023952095809  1  0.005988023952095809
101  Type  1  0.005988023952095809  1  0.005988023952095809
102  Unseen  1  0.005988023952095809  1  0.005988023952095809
103  Unsubscribe  1  0.005988023952095809  1  0.005988023952095809
104  Version  2  0.00998003992015968  2  0.00998003992015968
105  W  1  0.005988023952095809  1  0.005988023952095809
106  Wed  11  0.04590818363273453  11  0.04590818363273453
107  Well  1  0.005988023952095809  1  0.005988023952095809
108  Window  1  0.005988023952095809  1  0.005988023952095809
109  X  3  0.013972055888223553  3  0.013972055888223553
110  a  17  0.06986027944111776  17  0.06986027944111776
111  ac  3  0.013972055888223553  3  0.013972055888223553
112  adding  1  0.005988023952095809  1  0.005988023952095809
